,bhk,locality,sqft,price_per_sqft,bath,Price_Lakhs,Build_year,Age
848,3,Kharadi,1574,6670,2.0,105.0,2022.0,1.0
849,3,Vadgaon Budruk,1500,9733,2.0,146.0,2024.0,3.0
850,2,Aundh,1100,1818,2.0,20.0,2016.0,-5.0
851,3,Kharadi,1594,6775,3.0,108.0,2023.0,2.0
852,3,Kharadi,1500,6366,3.0,95.5,2024.0,3.0
854,3,Kharadi,1510,6291,3.0,95.0,2024.0,3.0
856,2,Dighi,890,5842,2.0,52.0,2015.0,-6.0
857,1,Dhanori,580,5862,1.0,34.0,2020.0,-1.0
859,1,Dhanori,640,5390,1.0,34.5,2017.0,-4.0
860,2,Kharadi,1227,8149,2.0,100.0,2015.0,-6.0
862,4,Viman Nagar,1990,8542,4.0,170.0,2009.0,-12.0
863,2,Wagholi,880,3636,2.0,32.0,2016.0,-5.0
865,3,Viman Nagar,1360,11029,3.0,150.0,2015.0,-6.0
867,3,Viman Nagar,1480,9797,3.0,145.0,2011.0,-10.0
868,3,Kharadi,1450,6620,3.0,96.0,2010.0,-11.0
871,2,Kharadi,1045,8899,2.0,93.0,2015.0,-6.0
872,3,Viman Nagar,1500,8666,3.0,130.0,2015.0,-6.0
873,2,Kharadi,1105,8325,2.0,92.0,2015.0,-6.0
874,3,Viman Nagar,1680,10416,3.0,175.0,2011.0,-10.0
875,3,Kharadi,1611,5648,3.0,91.0,2010.0,-11.0
876,3,Viman Nagar,2200,7227,3.0,159.0,2015.0,-6.0
877,1,Wagholi,610,4508,1.0,27.5,2017.0,-4.0
878,2,Kharadi,1150,7652,2.0,88.0,2015.0,-6.0
879,3,Viman Nagar,1600,7312,3.0,117.0,2015.0,-6.0
880,2,Wagholi,895,4245,2.0,38.0,2016.0,-5.0
881,2,Viman Nagar,1250,6480,2.0,81.0,2015.0,-6.0
882,2,Kharadi,1080,6296,2.0,68.0,2015.0,-6.0
883,3,Koregaon Park,2300,4739,3.0,109.00000000000001,2010.0,-11.0
884,1,Viman Nagar,690,9420,1.0,65.0,2009.0,-12.0
885,2,Viman Nagar,1138,7908,2.0,90.0,2015.0,-6.0
886,2,Koregaon Park,1000,9900,2.0,99.0,2015.0,-6.0
887,2,Viman Nagar,1050,7428,2.0,78.0,2006.0,-15.0
888,1,Viman Nagar,540,11851,1.0,64.0,2008.0,-13.0
889,1,Viman Nagar,750,8400,1.0,63.0,2011.0,-10.0
890,2,Koregaon Park,1100,8636,2.0,95.0,2010.0,-11.0
891,2,Kharadi,850,7411,2.0,63.0,2010.0,-11.0
892,2,Koregaon Park,1250,7120,2.0,89.0,2010.0,-11.0
893,2,Viman Nagar,1138,8172,2.0,93.0,2015.0,-6.0
894,2,Koregaon Park,1070,7850,2.0,84.0,2010.0,-11.0
895,2,Viman Nagar,1300,5846,2.0,76.0,2008.0,-13.0
896,2,Koregaon Park,1085,7465,2.0,81.0,2010.0,-11.0
897,1,Viman Nagar,1500,5666,1.0,85.0,2010.0,-11.0
898,2,Viman Nagar,1050,6380,2.0,67.0,2010.0,-11.0
899,2,Viman Nagar,1000,8300,2.0,83.0,2015.0,-6.0
900,2,Koregaon Park,830,9638,2.0,80.0,2010.0,-11.0
901,1,Viman Nagar,690,9565,1.0,66.0,2009.0,-12.0
902,2,Koregaon Park,900,8777,2.0,79.0,2010.0,-11.0
903,2,Dhayari,960,8151,2.0,78.25,2020.0,-1.0
904,1,Alandi,752,4255,2.0,32.0,2025.0,4.0
905,2,Alandi,752,4281,2.0,32.2,2025.0,4.0
906,2,Mundhwa,1270,7874,2.0,100.0,2024.0,3.0
907,2,Mundhwa,1020,7843,2.0,80.0,2024.0,3.0
908,2,Mundhwa,1120,7589,2.0,85.0,2024.0,3.0
909,2,Mundhwa,1650,7878,3.0,130.0,2024.0,3.0
910,2,Hadapsar,860,7558,2.0,65.0,2023.0,2.0
