bhk,locality,Price,sqft,status,Possession,price_per_sqft,Age_old,bath
3,Bavdhan,72 L,1200,Under Construction,Possession by Jun 2024,"6,000 / sq ft",,3
3,Bavdhan,82 L,1400,Under Construction,Possession by Jun 2024,"5,857 / sq ft",,3
2,Bavdhan,62 L,1150,Under Construction,Possession by Jun 2024,"5,391 / sq ft",,2
2,Bavdhan,61 L,1040,Under Construction,Possession by Jun 2024,"5,865 / sq ft",,2
1,Bavdhan,37 L,671,Under Construction,Possession by Jun 2024,"5,514 / sq ft",,2
2,Bavdhan,55 L,980,Under Construction,Possession by Jun 2024,"5,612 / sq ft",,2
1,Bavdhan,35 L,680,Under Construction,Possession by Jun 2024,"5,147 / sq ft",,1
3,Bavdhan,75 L,1410,Under Construction,Possession by Jun 2024,"5,319 / sq ft",,3
2,Bavdhan,61 L,1145,Under Construction,Possession by Jun 2024,"5,327 / sq ft",,2
1,Bavdhan,37.5 L,650,Under Construction,Possession by Jun 2024,"5,769 / sq ft",,2
2,Bavdhan,61 L,900,Under Construction,Possession by Jun 2024,"6,777 / sq ft",,2
3,Bavdhan,70 L,1050,Under Construction,Possession by Jun 2024,"6,666 / sq ft",,3
3,Bavdhan,81.5 L,1375,Under Construction,Possession by Jun 2024,"5,927 / sq ft",,3
3,Bavdhan,80 L,1350,Under Construction,Possession by Jun 2024,"5,925 / sq ft",,3
1,Bavdhan,37.5 L,640,Under Construction,Possession by Jun 2024,"5,859 / sq ft",,1
2,Mahalunge,65 L,955,Under Construction,Possession by Nov 2023,"6,806 / sq ft",,2
1,Ambegaon 1,22 L,581,Ready to move,,"3,786 / sq ft",1,2
1,Fursungi,17 L,505,Ready to move,,"3,366 / sq ft",,1
2,Sus,58 L,1070,Under Construction,Possession by Apr 2023,"5,420 / sq ft",,2
2,Ravet,64.99 L,1043,Ready to move,,"6,232 / sq ft",,2
3,Baner,95 L,1485,Under Construction,,"6,397 / sq ft",,3
2,Hinjewadi,49 L,1012,Ready to move,,"4,841 / sq ft",121,2
2,Hinjewadi,58 L,1015,Ready to move,,"5,714 / sq ft",,2
1,Ambegaon 1,11 L,335,Ready to move,,"3,283 / sq ft",1,1
2,Mahalunge,56 L,1012,Ready to move,,"5,533 / sq ft",,2
2,Hinjewadi,54 L,1007,Ready to move,,"5,362 / sq ft",,2
1,Wakad,45 L,479,Under Construction,Possession by Nov 2023,"9,394 / sq ft",,1
3,Ambegaon 1,65.99 L,1384,Ready to move,,"4,768 / sq ft",1,3
3,Baner,1.15 Cr,1686,Ready to move,,"6,820 / sq ft",1,3
3,Baner,1.15 Cr,1525,Under Construction,Possession by Nov 2020,"7,540 / sq ft",,3
3,Kondhwa,1.61 Cr,1436,Under Construction,Possession by Dec 1899,"11,212 / sq ft",,
3,Kondhwa,1.54 Cr,1378,Under Construction,Possession by Dec 1899,"11,248 / sq ft",,
2,Kondhwa,1.03 Cr,901,Under Construction,Possession by Dec 1899,"11,432 / sq ft",,
3,Kondhwa,1.58 Cr,1390,Under Construction,Possession by Dec 1899,"11,367 / sq ft",,
3,Kondhwa,1.59 Cr,1425,Under Construction,Possession by Dec 1899,"11,228 / sq ft",,
2,Kondhwa,1 Cr,898,Under Construction,Possession by Dec 1899,"11,136 / sq ft",,
3,Kondhwa,1.61 Cr,1436,Under Construction,Possession by Dec 1899,"11,212 / sq ft",,
3,Kondhwa,1.54 Cr,1378,Under Construction,Possession by Dec 1899,"11,248 / sq ft",,
2,Kondhwa,1.03 Cr,901,Under Construction,Possession by Dec 1899,"11,432 / sq ft",,
3,Kondhwa,1.58 Cr,1390,Under Construction,Possession by Dec 1899,"11,367 / sq ft",,
3,Kondhwa,1.59 Cr,1425,Under Construction,Possession by Dec 1899,"11,228 / sq ft",,
2,Tathawade,55.44 L,532,Under Construction,Possession by Dec 2024,"10,422 / sq ft",,
2,Tathawade,55.3 L,530,Under Construction,Possession by Dec 2024,"10,455 / sq ft",,
2,Tathawade,55 L,499,Under Construction,Possession by Dec 2024,"11,046 / sq ft",,
2,Tathawade,55.25 L,526,Under Construction,Possession by Dec 2024,"10,505 / sq ft",,
2,Tathawade,55.02 L,502,Under Construction,Possession by Dec 2024,"10,984 / sq ft",,
2,Tathawade,61.88 L,688,Under Construction,Possession by Dec 2024,"8,995 / sq ft",,
2,Tathawade,55.02 L,500,Under Construction,Possession by Dec 2024,"11,004 / sq ft",,
2,Tathawade,61.22 L,664,Under Construction,Possession by Dec 2024,"9,235 / sq ft",,
2,Tathawade,54.99 L,497,Under Construction,Possession by Dec 2024,"11,066 / sq ft",,
2,Tathawade,55.29 L,529,Under Construction,Possession by Dec 2024,"10,453 / sq ft",,
2,Hinjewadi,44.19 L,560,Under Construction,Possession by Jun 2024,"7,891 / sq ft",,
1,Hinjewadi,32.04 L,394,Under Construction,Possession by Jun 2024,"8,154 / sq ft",,
2,Tathawade,49.99 L,494,Under Construction,Possession by Jul 2023,"10,119 / sq ft",,
2,Tathawade,54.4 L,538,Under Construction,Possession by Jul 2023,"10,130 / sq ft",,
2,Tathawade,54.27 L,536,Under Construction,Possession by Jul 2023,"10,125 / sq ft",,
2,Tathawade,50.51 L,499,Under Construction,Possession by Jul 2023,"10,122 / sq ft",,
2,Tathawade,56.03 L,554,Under Construction,Possession by Jul 2023,"10,132 / sq ft",,
2,Tathawade,57.04 L,564,Under Construction,Possession by Jul 2023,"10,132 / sq ft",,
2,Tathawade,56.94 L,563,Under Construction,Possession by Jul 2023,"10,133 / sq ft",,
2,Tathawade,56.2 L,556,Under Construction,Possession by Jul 2023,"10,127 / sq ft",,
2,Tathawade,56.35 L,557,Under Construction,Possession by Jul 2023,"10,134 / sq ft",,
2,Wakad,64.64 L,753,Under Construction,Possession by May 2027,"8,585 / sq ft",,
2,Wakad,63.19 L,736,Under Construction,Possession by May 2027,"8,585 / sq ft",,
2,Wakad,62.68 L,730,Under Construction,Possession by May 2027,"8,586 / sq ft",,
2,Wakad,64.39 L,750,Under Construction,Possession by May 2027,"8,585 / sq ft",,
2,Wakad,62.93 L,733,Under Construction,Possession by May 2027,"8,586 / sq ft",,
3,Kharadi,1.25 Cr,1928,Under Construction,,"6,483 / sq ft",,3
3,Kharadi,1.46 Cr,1890,Under Construction,,"7,724 / sq ft",,2
2,Mundhwa,67 L,804,Under Construction,,"8,333 / sq ft",,2
3,Mundhwa,88 L,1060,Under Construction,,"8,301 / sq ft",,3
3,Mundhwa,1.05 Cr,1431,Under Construction,,"7,337 / sq ft",,6
2,Kharadi,99 L,1323,Under Construction,,"7,482 / sq ft",,5
2,Mundhwa,66.49 L,1082,Under Construction,,"6,145 / sq ft",,2
2,Mundhwa,82 L,1087,Under Construction,,"7,543 / sq ft",,4
2,Manjari,70 L,992,Under Construction,Possession by Mar 2025,"7,056 / sq ft",,2
2,Baner,84.12 L,669,Under Construction,Possession by May 2025,"12,574 / sq ft",,
3,Baner,1.37 Cr,957,Under Construction,Possession by May 2025,"14,374 / sq ft",,
2,Baner,1.06 Cr,849,Under Construction,Possession by May 2025,"12,573 / sq ft",,
2,Baner,1.07 Cr,855,Under Construction,Possession by May 2025,"12,577 / sq ft",,
3,Baner,1.46 Cr,1021,Under Construction,Possession by May 2025,"14,376 / sq ft",,
2,Ambegaon 1,43.33 L,963,Under Construction,,"4,500 / sq ft",,2
2,Ambegaon 1,42.07 L,935,Under Construction,,"4,500 / sq ft",,2
2,Ambegaon 1,43.33 L,963,Under Construction,,"4,500 / sq ft",,2
1,Bavdhan,37.5 L,650,Under Construction,Possession by Jun 2024,"5,769 / sq ft",,2
2,Bavdhan,78 L,1147,Under Construction,Possession by Jun 2024,"6,800 / sq ft",,3
3,Bavdhan,88 L,1323,Under Construction,Possession by Jun 2024,"6,651 / sq ft",,3
1,Bavdhan,38 L,639,Under Construction,Possession by Jun 2024,"5,946 / sq ft",,1
1,Bavdhan,39 L,639,Under Construction,Possession by Jun 2024,"6,103 / sq ft",,1
2,Bavdhan,65.5 L,1006,Under Construction,Possession by Jun 2024,"6,510 / sq ft",,2
3,Bavdhan,72 L,1200,Under Construction,Possession by Jun 2024,"6,000 / sq ft",,3
3,Bavdhan,82 L,1400,Under Construction,Possession by Jun 2024,"5,857 / sq ft",,3
2,Bavdhan,62 L,1150,Under Construction,Possession by Jun 2024,"5,391 / sq ft",,2
2,Bavdhan,61 L,1040,Under Construction,Possession by Jun 2024,"5,865 / sq ft",,2
1,Bavdhan,37 L,671,Under Construction,Possession by Jun 2024,"5,514 / sq ft",,2
2,Bavdhan,55 L,980,Under Construction,Possession by Jun 2024,"5,612 / sq ft",,2
1,Bavdhan,35 L,680,Under Construction,Possession by Jun 2024,"5,147 / sq ft",,1
3,Bavdhan,75 L,1410,Under Construction,Possession by Jun 2024,"5,319 / sq ft",,3
2,Bavdhan,61 L,1145,Under Construction,Possession by Jun 2024,"5,327 / sq ft",,2
1,Bavdhan,37.5 L,650,Under Construction,Possession by Jun 2024,"5,769 / sq ft",,2
2,Bavdhan,61 L,900,Under Construction,Possession by Jun 2024,"6,777 / sq ft",,2
4,Aundh,3.68 Cr,2103,Ready to move,,"17,500 / sq ft",1,
6,Aundh,6.76 Cr,3863,Ready to move,,"17,500 / sq ft",1,
4,Aundh,4.13 Cr,2363,Ready to move,,"17,500 / sq ft",1,
